2025-04-09 03:25:34,440 - wrapper - 来自: main.py:43 - <module>                          | 调用函数            | GameHelper.__init__                      | 参数: {'self': '<GameHelper.GameHelper object at 0x00000246C8755250>'}
2025-04-09 03:25:34,441 - wrapper - 来自: GameHelper.py:146 - __init__                   | 调用函数            | GameHelper.read_json                     | 参数: {}
2025-04-09 03:25:34,441 - wrapper - 来自: GameHelper.py:146 - __init__                   | 函数返回            | GameHelper.read_json                     | 返回值: {'window': 0, 'bid1': '0.6', 'bid2': '0.6', 'bid3': '0.6', 'bid4': '0.6'}
2025-04-09 03:25:34,441 - wrapper - 来自: GameHelper.py:152 - __init__                   | 调用函数            | GameHelper.write_json                    | 参数: {'data': "{'window': 0, 'bid1': '0.6', 'bid2': '0.6', 'bid3': '0.6', 'bid4': '0.6'}"}
2025-04-09 03:25:34,447 - wrapper - 来自: GameHelper.py:152 - __init__                   | 函数返回            | GameHelper.write_json                    | 返回值: None
2025-04-09 03:25:34,447 - wrapper - 来自: GameHelper.py:155 - __init__                   | 调用函数            | GameHelper.GetZoomRate                   | 参数: {'self': '<GameHelper.GameHelper object at 0x00000246C8755250>'}
2025-04-09 03:25:34,447 - wrapper - 来自: GameHelper.py:155 - __init__                   | 函数返回            | GameHelper.GetZoomRate                   | 返回值: None
2025-04-09 03:25:34,511 - wrapper - 来自: main.py:43 - <module>                          | 函数返回            | GameHelper.__init__                      | 返回值: None
2025-04-09 03:25:34,539 - wrapper - 来自: main.py:1234 - <module>                        | 调用函数            | __main__.__init__                        | 参数: {'self': '<__main__.MaYun object at 0x00000246F4A71F70>'}
2025-04-09 03:25:34,869 - wrapper - 来自: main.py:1048 - __init__                        | 调用函数            | __main__.__init__                        | 参数: {'self': '<__main__.Worker object at 0x00000246F6551550>'}
2025-04-09 03:25:34,927 - wrapper - 来自: main.py:1048 - __init__                        | 函数返回            | __main__.__init__                        | 返回值: None
2025-04-09 03:25:34,927 - wrapper - 来自: main.py:1049 - __init__                        | 调用函数            | __main__.init_info                       | 参数: {'self': '<__main__.MaYun object at 0x00000246F4A71F70>'}
2025-04-09 03:25:34,927 - wrapper - 来自: main.py:1130 - init_info                       | 调用函数            | GameHelper.__init__                      | 参数: {'self': '<GameHelper.GameHelper object at 0x00000246F48F2CD0>'}
2025-04-09 03:25:34,928 - wrapper - 来自: GameHelper.py:146 - __init__                   | 调用函数            | GameHelper.read_json                     | 参数: {}
2025-04-09 03:25:34,928 - wrapper - 来自: GameHelper.py:146 - __init__                   | 函数返回            | GameHelper.read_json                     | 返回值: {'window': 0, 'bid1': '0.6', 'bid2': '0.6', 'bid3': '0.6', 'bid4': '0.6'}
2025-04-09 03:25:34,928 - wrapper - 来自: GameHelper.py:152 - __init__                   | 调用函数            | GameHelper.write_json                    | 参数: {'data': "{'window': 0, 'bid1': '0.6', 'bid2': '0.6', 'bid3': '0.6', 'bid4': '0.6'}"}
2025-04-09 03:25:34,930 - wrapper - 来自: GameHelper.py:152 - __init__                   | 函数返回            | GameHelper.write_json                    | 返回值: None
2025-04-09 03:25:34,931 - wrapper - 来自: GameHelper.py:155 - __init__                   | 调用函数            | GameHelper.GetZoomRate                   | 参数: {'self': '<GameHelper.GameHelper object at 0x00000246F48F2CD0>'}
2025-04-09 03:25:34,931 - wrapper - 来自: GameHelper.py:155 - __init__                   | 函数返回            | GameHelper.GetZoomRate                   | 返回值: None
2025-04-09 03:25:35,007 - wrapper - 来自: main.py:1130 - init_info                       | 函数返回            | GameHelper.__init__                      | 返回值: None
2025-04-09 03:25:35,007 - wrapper - 来自: main.py:1131 - init_info                       | 调用函数            | GameHelper.read_json                     | 参数: {}
2025-04-09 03:25:35,007 - wrapper - 来自: main.py:1131 - init_info                       | 函数返回            | GameHelper.read_json                     | 返回值: {'window': 0, 'bid1': '0.6', 'bid2': '0.6', 'bid3': '0.6', 'bid4': '0.6'}
2025-04-09 03:25:35,009 - wrapper - 来自: main.py:1049 - __init__                        | 函数返回            | __main__.init_info                       | 返回值: None
2025-04-09 03:25:35,010 - wrapper - 来自: main.py:1234 - <module>                        | 函数返回            | __main__.__init__                        | 返回值: None
