14:07:30 - 来自: main.py:43 - <module>                          | 调用函数            | GameHelper.__init__                      | 参数: {'self': '<GameHelper.GameHelper object at 0x000002555D56A490>'}
14:07:30 - 来自: GameHelper.py:170 - __init__                   | 调用函数            | GameHelper.read_json                     | 参数: {}
14:07:30 - 来自: GameHelper.py:170 - __init__                   | 函数返回            | GameHelper.read_json                     | 返回值: {'window': 1, 'bid1': '0.6', 'bid2': '0.6', 'bid3': '0.6', 'bid4': '0.6'}
14:07:30 - 来自: GameHelper.py:187 - __init__                   | 调用函数            | GameHelper.write_json                    | 参数: {'data': "{'window': 0, 'bid1': '0.6', 'bid2': '0.6', 'bid3': '0.6', 'bid4': '0.6'}"}
14:07:30 - 来自: GameHelper.py:187 - __init__                   | 函数返回            | GameHelper.write_json                    | 返回值: None
14:07:30 - 来自: GameHelper.py:190 - __init__                   | 调用函数            | GameHelper.GetZoomRate                   | 参数: {'self': '<GameHelper.GameHelper object at 0x000002555D56A490>'}
14:07:30 - 来自: GameHelper.py:190 - __init__                   | 函数返回            | GameHelper.GetZoomRate                   | 返回值: None
14:07:30 - 来自: main.py:43 - <module>                          | 函数返回            | GameHelper.__init__                      | 返回值: None
14:07:30 - 来自: main.py:1720 - <module>                        | 调用函数            | __main__.__init__                        | 参数: {'self': '<__main__.MaYun object at 0x000002557EDB5550>'}
14:07:31 - 来自: main.py:1534 - __init__                        | 调用函数            | __main__.__init__                        | 参数: {'self': '<__main__.Worker object at 0x000002557F793AF0>'}
14:07:31 - 来自: main.py:1534 - __init__                        | 函数返回            | __main__.__init__                        | 返回值: None
14:07:31 - 来自: main.py:1535 - __init__                        | 调用函数            | __main__.init_info                       | 参数: {'self': '<__main__.MaYun object at 0x000002557EDB5550>'}
14:07:31 - 来自: main.py:1616 - init_info                       | 调用函数            | GameHelper.__init__                      | 参数: {'self': '<GameHelper.GameHelper object at 0x000002557EC56520>'}
14:07:31 - 来自: GameHelper.py:170 - __init__                   | 调用函数            | GameHelper.read_json                     | 参数: {}
14:07:31 - 来自: GameHelper.py:170 - __init__                   | 函数返回            | GameHelper.read_json                     | 返回值: {'window': 0, 'bid1': '0.6', 'bid2': '0.6', 'bid3': '0.6', 'bid4': '0.6'}
14:07:31 - 来自: GameHelper.py:187 - __init__                   | 调用函数            | GameHelper.write_json                    | 参数: {'data': "{'window': 0, 'bid1': '0.6', 'bid2': '0.6', 'bid3': '0.6', 'bid4': '0.6'}"}
14:07:31 - 来自: GameHelper.py:187 - __init__                   | 函数返回            | GameHelper.write_json                    | 返回值: None
14:07:31 - 来自: GameHelper.py:190 - __init__                   | 调用函数            | GameHelper.GetZoomRate                   | 参数: {'self': '<GameHelper.GameHelper object at 0x000002557EC56520>'}
14:07:31 - 来自: GameHelper.py:190 - __init__                   | 函数返回            | GameHelper.GetZoomRate                   | 返回值: None
14:07:31 - 来自: main.py:1616 - init_info                       | 函数返回            | GameHelper.__init__                      | 返回值: None
14:07:31 - 来自: main.py:1617 - init_info                       | 调用函数            | GameHelper.read_json                     | 参数: {}
14:07:31 - 来自: main.py:1617 - init_info                       | 函数返回            | GameHelper.read_json                     | 返回值: {'window': 0, 'bid1': '0.6', 'bid2': '0.6', 'bid3': '0.6', 'bid4': '0.6'}
14:07:31 - 来自: main.py:1535 - __init__                        | 函数返回            | __main__.init_info                       | 返回值: None
14:07:31 - 来自: main.py:1720 - <module>                        | 函数返回            | __main__.__init__                        | 返回值: None
