15:01:20 - 来自: main.py:43 - <module>                          | 调用函数            | GameHelper.__init__                      | 参数: {'self': '<GameHelper.GameHelper object at 0x0000018C7B75A490>'}
15:01:20 -     来自: GameHelper.py:170 - __init__                   | 调用函数            | GameHelper.read_json                     | 参数: {}
15:01:20 -     来自: GameHelper.py:170 - __init__                   | 函数返回            | GameHelper.read_json                     | 返回值: {'window': 1, 'bid1': '0.6', 'bid2': '0.6', 'bid3': '0.6', 'bid4': '0.6'}
15:01:20 -     来自: GameHelper.py:187 - __init__                   | 调用函数            | GameHelper.write_json                    | 参数: {'data': "{'window': 1, 'bid1': '0.6', 'bid2': '0.6', 'bid3': '0.6', 'bid4': '0.6'}"}
15:01:20 -     来自: GameHelper.py:187 - __init__                   | 函数返回            | GameHelper.write_json                    | 返回值: None
15:01:20 -     来自: GameHelper.py:190 - __init__                   | 调用函数            | GameHelper.GetZoomRate                   | 参数: {'self': '<GameHelper.GameHelper object at 0x0000018C7B75A490>'}
15:01:20 -     来自: GameHelper.py:190 - __init__                   | 函数返回            | GameHelper.GetZoomRate                   | 返回值: None
15:01:21 - 来自: main.py:43 - <module>                          | 函数返回            | GameHelper.__init__                      | 返回值: None
15:01:21 - 来自: main.py:1720 - <module>                        | 调用函数            | __main__.__init__                        | 参数: {'self': '<__main__.MaYun object at 0x0000018C24FA48B0>'}
15:01:21 -     来自: main.py:1534 - __init__                        | 调用函数            | __main__.__init__                        | 参数: {'self': '<__main__.Worker object at 0x0000018C26983E50>'}
15:01:21 -     来自: main.py:1534 - __init__                        | 函数返回            | __main__.__init__                        | 返回值: None
15:01:21 -     来自: main.py:1535 - __init__                        | 调用函数            | __main__.init_info                       | 参数: {'self': '<__main__.MaYun object at 0x0000018C24FA48B0>'}
15:01:21 -         来自: main.py:1616 - init_info                       | 调用函数            | GameHelper.__init__                      | 参数: {'self': '<GameHelper.GameHelper object at 0x0000018C24E47550>'}
15:01:21 -             来自: GameHelper.py:170 - __init__                   | 调用函数            | GameHelper.read_json                     | 参数: {}
15:01:21 -             来自: GameHelper.py:170 - __init__                   | 函数返回            | GameHelper.read_json                     | 返回值: {'window': 1, 'bid1': '0.6', 'bid2': '0.6', 'bid3': '0.6', 'bid4': '0.6'}
15:01:21 -             来自: GameHelper.py:187 - __init__                   | 调用函数            | GameHelper.write_json                    | 参数: {'data': "{'window': 1, 'bid1': '0.6', 'bid2': '0.6', 'bid3': '0.6', 'bid4': '0.6'}"}
15:01:21 -             来自: GameHelper.py:187 - __init__                   | 函数返回            | GameHelper.write_json                    | 返回值: None
15:01:21 -             来自: GameHelper.py:190 - __init__                   | 调用函数            | GameHelper.GetZoomRate                   | 参数: {'self': '<GameHelper.GameHelper object at 0x0000018C24E47550>'}
15:01:21 -             来自: GameHelper.py:190 - __init__                   | 函数返回            | GameHelper.GetZoomRate                   | 返回值: None
15:01:21 -         来自: main.py:1616 - init_info                       | 函数返回            | GameHelper.__init__                      | 返回值: None
15:01:21 -         来自: main.py:1617 - init_info                       | 调用函数            | GameHelper.read_json                     | 参数: {}
15:01:21 -         来自: main.py:1617 - init_info                       | 函数返回            | GameHelper.read_json                     | 返回值: {'window': 1, 'bid1': '0.6', 'bid2': '0.6', 'bid3': '0.6', 'bid4': '0.6'}
15:01:21 -     来自: main.py:1535 - __init__                        | 函数返回            | __main__.init_info                       | 返回值: None
15:01:21 - 来自: main.py:1720 - <module>                        | 函数返回            | __main__.__init__                        | 返回值: None
15:01:27 - 来自: main.py:1722 - <module>                        | 调用函数            | __main__.auto_game                       | 参数: {'self': '<__main__.MaYun object at 0x0000018C24FA48B0>', 'result': 'False'}
15:01:27 -     来自: main.py:1568 - auto_game                       | 调用函数            | GameHelper.__init__                      | 参数: {'self': '<GameHelper.GameHelper object at 0x0000018C26A055B0>'}
15:01:27 -         来自: GameHelper.py:170 - __init__                   | 调用函数            | GameHelper.read_json                     | 参数: {}
15:01:27 - 来自: 未知调用者                                          | 调用函数            | __main__.run                             | 参数: {'self': '<__main__.Worker object at 0x0000018C26983E50>'}
15:01:27 -         来自: GameHelper.py:170 - __init__                   | 函数返回            | GameHelper.read_json                     | 返回值: {'window': 1, 'bid1': '0.6', 'bid2': '0.6', 'bid3': '0.6', 'bid4': '0.6'}
15:01:27 -     来自: main.py:248 - run                              | 调用函数            | __main__.init_datas                      | 参数: {'self': '<__main__.Worker object at 0x0000018C26983E50>'}
15:01:27 -         来自: GameHelper.py:187 - __init__                   | 调用函数            | GameHelper.write_json                    | 参数: {'data': "{'window': 1, 'bid1': '0.6', 'bid2': '0.6', 'bid3': '0.6', 'bid4': '0.6'}"}
15:01:27 -         来自: GameHelper.py:187 - __init__                   | 函数返回            | GameHelper.write_json                    | 返回值: None
15:01:27 -         来自: GameHelper.py:190 - __init__                   | 调用函数            | GameHelper.GetZoomRate                   | 参数: {'self': '<GameHelper.GameHelper object at 0x0000018C26A055B0>'}
15:01:27 -         来自: GameHelper.py:190 - __init__                   | 函数返回            | GameHelper.GetZoomRate                   | 返回值: None
15:01:27 -     来自: main.py:1568 - auto_game                       | 函数返回            | GameHelper.__init__                      | 返回值: None
15:01:27 - 来自: main.py:1722 - <module>                        | 函数返回            | __main__.auto_game                       | 返回值: None
15:01:27 - 来自: main.py:1722 - <module>                        | 调用函数            | __main__.init_interface                  | 参数: {'self': '<__main__.MaYun object at 0x0000018C24FA48B0>', 'result': '1'}
15:01:27 -     来自: main.py:1636 - init_interface                  | 调用函数            | __main__.recorder2zero                   | 参数: {'self': '<__main__.MaYun object at 0x0000018C24FA48B0>'}
15:01:27 -     来自: main.py:1636 - init_interface                  | 函数返回            | __main__.recorder2zero                   | 返回值: None
15:01:27 - 来自: main.py:1722 - <module>                        | 函数返回            | __main__.init_interface                  | 返回值: None
15:01:27 - 来自: main.py:1722 - <module>                        | 调用函数            | __main__.write_threshold                 | 参数: {'self': '<__main__.MaYun object at 0x0000018C24FA48B0>', 'result': '1'}
15:01:27 -     来自: main.py:1607 - write_threshold                 | 调用函数            | GameHelper.read_json                     | 参数: {}
15:01:27 -     来自: main.py:1607 - write_threshold                 | 函数返回            | GameHelper.read_json                     | 返回值: {'window': 1, 'bid1': '0.6', 'bid2': '0.6', 'bid3': '0.6', 'bid4': '0.6'}
15:01:27 -     来自: main.py:1612 - write_threshold                 | 调用函数            | GameHelper.write_json                    | 参数: {'data': "{'window': 1, 'bid1': '0.6', 'bid2': '0.6', 'bid3': '0.6', 'bid4': '0.6'}"}
15:01:27 -     来自: main.py:1612 - write_threshold                 | 函数返回            | GameHelper.write_json                    | 返回值: None
15:01:27 - 来自: main.py:1722 - <module>                        | 函数返回            | __main__.write_threshold                 | 返回值: None
15:01:27 -         来自: main.py:295 - init_datas                       | 调用函数            | GameHelper.read_json                     | 参数: {}
15:01:27 -         来自: main.py:295 - init_datas                       | 函数返回            | GameHelper.read_json                     | 返回值: {'window': 1, 'bid1': '0.6', 'bid2': '0.6', 'bid3': '0.6', 'bid4': '0.6'}
15:01:27 -     来自: main.py:248 - run                              | 函数异常            | __main__.init_datas                      | 异常类型: KeyError | 异常信息: 'state' | 堆栈跟踪: Traceback (most recent call last):
  File "c:\Users\User\Desktop\douzero项目汇总\测试用\5.8源码cursor版\log_utils.py", line 128, in wrapper
    result = func(*args, **kwargs)
  File "c:/Users/User/Desktop/douzero项目汇总/测试用/5.8源码cursor版/main.py", line 297, in init_datas
    self.statement = data["state"]
KeyError: 'state'

15:01:27 -     来自: main.py:274 - run                              | 调用函数            | __main__.before_start                    | 参数: {'self': '<__main__.Worker object at 0x0000018C26983E50>'}
15:01:27 -         来自: main.py:683 - before_start                     | 调用函数            | __main__.find_my_cards                   | 参数: {'self': '<__main__.Worker object at 0x0000018C26983E50>'}
15:01:27 -             来自: main.py:374 - find_my_cards                    | 调用函数            | GameHelper.Screenshot                    | 参数: {'self': '<GameHelper.GameHelper object at 0x0000018C7B75A490>', 'region': 'None'}
15:01:27 -             来自: main.py:374 - find_my_cards                    | 函数返回            | GameHelper.Screenshot                    | 返回值: <PIL.Image.Image image mode=RGB size=1280x720 at 0x18C24E473A0>
15:01:27 -             来自: main.py:376 - find_my_cards                    | 调用函数            | __main__.cards_info                      | 参数: {'self': '<__main__.Worker object at 0x0000018C26983E50>', 'img': '[[[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n ...\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]]', 'pos': '(54, 481, 1121, 82)', 'mark': 'm', 'confidence': '0.8'}
15:01:27 -                 来自: main.py:317 - cards_info                       | 调用函数            | GameHelper.LocateAllOnImage              | 参数: {'image': '[[[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n ...\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]\n\n [[0 0 0]\n  [0 0 0]\n  [0 0 0]\n  ...\n  [0 0 0]\n  [0 0 0]\n  [0 0 0]]]', 'template': '[[[252 254 254]\n  [252 254 254]\n  [253 254 254]\n  ...\n  [253 253 253]\n  [254 254 254]\n  [254 254 254]]\n\n [[252 254 254]\n  [252 254 254]\n  [253 254 254]\n  ...\n  [254 254 254]\n  [254 254 254]\n  [254 254 254]]\n\n [[252 254 254]\n  [252 254 254]\n  [253 254 254]\n  ...\n  [254 254 254]\n  [254 254 254]\n  [254 254 254]]\n\n ...\n\n [[250 248 248]\n  [248 246 246]\n  [247 245 246]\n  ...\n  [247 247 247]\n  [248 248 248]\n  [248 248 248]]\n\n [[249 247 247]\n  [249 246 247]\n  [248 246 247]\n  ...\n  [246 246 246]\n  [247 247 247]\n  [247 247 247]]\n\n [[249 246 247]\n  [249 246 247]\n  [248 246 247]\n  ...\n  [246 246 246]\n  [246 246 246]\n  [247 247 247]]]', 'region': '(54, 481, 1121, 82)', 'confidence': '0.8'}
15:01:27 -                 来自: main.py:317 - cards_info                       | 函数返回            | GameHelper.LocateAllOnImage              | 返回值: []
