11:28:35 - 来自: main.py:1741 - <module>                        | 调用函数            | __main__.__init__                        | 参数: {'self': '<__main__.MaYun object at 0x000001B953EF9040>'}
11:28:36 -     来自: main.py:1555 - __init__                        | 调用函数            | __main__.__init__                        | 参数: {'self': '<__main__.Worker object at 0x000001B9558D45E0>'}
11:28:36 -     来自: main.py:1555 - __init__                        | 函数返回            | __main__.__init__                        | 返回值: None
11:28:36 -     来自: main.py:1556 - __init__                        | 调用函数            | __main__.init_info                       | 参数: {'self': '<__main__.MaYun object at 0x000001B953EF9040>'}
11:28:36 -     来自: main.py:1556 - __init__                        | 函数返回            | __main__.init_info                       | 返回值: None
11:28:36 - 来自: main.py:1741 - <module>                        | 函数返回            | __main__.__init__                        | 返回值: None
11:28:42 - 来自: main.py:1743 - <module>                        | 调用函数            | __main__.auto_game                       | 参数: {'self': '<__main__.MaYun object at 0x000001B953EF9040>', 'result': 'False'}
11:28:42 - 来自: 未知调用者                                          | 调用函数            | __main__.run                             | 参数: {'self': '<__main__.Worker object at 0x000001B9558D45E0>'}
11:28:42 -     来自: main.py:255 - run                              | 调用函数            | __main__.init_datas                      | 参数: {'self': '<__main__.Worker object at 0x000001B9558D45E0>'}
11:28:42 - 来自: main.py:1743 - <module>                        | 函数返回            | __main__.auto_game                       | 返回值: None
11:28:42 - 来自: main.py:1743 - <module>                        | 调用函数            | __main__.init_interface                  | 参数: {'self': '<__main__.MaYun object at 0x000001B953EF9040>', 'result': '1'}
11:28:42 -     来自: main.py:1657 - init_interface                  | 调用函数            | __main__.recorder2zero                   | 参数: {'self': '<__main__.MaYun object at 0x000001B953EF9040>'}
11:28:42 -     来自: main.py:1657 - init_interface                  | 函数返回            | __main__.recorder2zero                   | 返回值: None
11:28:42 - 来自: main.py:1743 - <module>                        | 函数返回            | __main__.init_interface                  | 返回值: None
