18:52:06 - 来自: main.py:1745 - <module>                        | 调用函数            | __main__.__init__                        | 参数: {'self': '<__main__.MaYun object at 0x00000158CF05FF70>'}
18:52:06 -     来自: main.py:1559 - __init__                        | 调用函数            | __main__.__init__                        | 参数: {'self': '<__main__.Worker object at 0x00000158D0A45550>'}
18:52:06 -     来自: main.py:1559 - __init__                        | 函数返回            | __main__.__init__                        | 返回值: None
18:52:06 -     来自: main.py:1560 - __init__                        | 调用函数            | __main__.init_info                       | 参数: {'self': '<__main__.MaYun object at 0x00000158CF05FF70>'}
18:52:06 -     来自: main.py:1560 - __init__                        | 函数返回            | __main__.init_info                       | 返回值: None
18:52:06 - 来自: main.py:1745 - <module>                        | 函数返回            | __main__.__init__                        | 返回值: None
18:52:09 - 来自: main.py:1747 - <module>                        | 调用函数            | __main__.auto_game                       | 参数: {'self': '<__main__.MaYun object at 0x00000158CF05FF70>', 'result': 'False'}
18:52:09 - 来自: 未知调用者                                          | 调用函数            | __main__.run                             | 参数: {'self': '<__main__.Worker object at 0x00000158D0A45550>'}
18:52:09 -     来自: main.py:259 - run                              | 调用函数            | __main__.init_datas                      | 参数: {'self': '<__main__.Worker object at 0x00000158D0A45550>'}
18:52:09 - 来自: main.py:1747 - <module>                        | 函数返回            | __main__.auto_game                       | 返回值: None
18:52:09 - 来自: main.py:1747 - <module>                        | 调用函数            | __main__.init_interface                  | 参数: {'self': '<__main__.MaYun object at 0x00000158CF05FF70>', 'result': '1'}
18:52:09 -     来自: main.py:1661 - init_interface                  | 调用函数            | __main__.recorder2zero                   | 参数: {'self': '<__main__.MaYun object at 0x00000158CF05FF70>'}
18:52:09 -     来自: main.py:1661 - init_interface                  | 函数返回            | __main__.recorder2zero                   | 返回值: None
18:52:09 - 来自: main.py:1747 - <module>                        | 函数返回            | __main__.init_interface                  | 返回值: None
18:52:09 - 来自: main.py:1747 - <module>                        | 调用函数            | __main__.write_threshold                 | 参数: {'self': '<__main__.MaYun object at 0x00000158CF05FF70>', 'result': '1'}
18:52:09 - 来自: main.py:1747 - <module>                        | 函数返回            | __main__.write_threshold                 | 返回值: None
18:52:09 -     来自: main.py:259 - run                              | 函数异常            | __main__.init_datas                      | 异常类型: KeyError | 异常信息: 'state' | 堆栈跟踪: Traceback (most recent call last):
  File "c:\Users\User\Desktop\douzero项目汇总\测试用\5.8源码cursor版\log_utils.py", line 128, in wrapper
    result = func(*args, **kwargs)
  File "c:/Users/User/Desktop/douzero项目汇总/测试用/5.8源码cursor版/main.py", line 308, in init_datas
    self.statement = data["state"]
KeyError: 'state'

18:52:09 -     来自: main.py:285 - run                              | 调用函数            | __main__.before_start                    | 参数: {'self': '<__main__.Worker object at 0x00000158D0A45550>'}
18:52:09 -         来自: main.py:707 - before_start                     | 调用函数            | __main__.find_my_cards                   | 参数: {'self': '<__main__.Worker object at 0x00000158D0A45550>'}
