19:05:52 - 来自: main.py:1762 - <module>                        | 调用函数            | __main__.__init__                        | 参数: {'self': '<__main__.MaYun object at 0x00000259973C3EE0>'}
19:05:53 -     来自: main.py:1576 - __init__                        | 调用函数            | __main__.__init__                        | 参数: {'self': '<__main__.Worker object at 0x0000025998DA84C0>'}
19:05:53 -     来自: main.py:1576 - __init__                        | 函数返回            | __main__.__init__                        | 返回值: None
19:05:53 -     来自: main.py:1577 - __init__                        | 调用函数            | __main__.init_info                       | 参数: {'self': '<__main__.MaYun object at 0x00000259973C3EE0>'}
19:05:53 -     来自: main.py:1577 - __init__                        | 函数返回            | __main__.init_info                       | 返回值: None
19:05:53 - 来自: main.py:1762 - <module>                        | 函数返回            | __main__.__init__                        | 返回值: None
19:05:56 - 来自: main.py:1764 - <module>                        | 调用函数            | __main__.auto_game                       | 参数: {'self': '<__main__.MaYun object at 0x00000259973C3EE0>', 'result': 'False'}
19:05:56 - 来自: 未知调用者                                          | 调用函数            | __main__.run                             | 参数: {'self': '<__main__.Worker object at 0x0000025998DA84C0>'}
19:05:56 -     来自: main.py:259 - run                              | 调用函数            | __main__.init_datas                      | 参数: {'self': '<__main__.Worker object at 0x0000025998DA84C0>'}
19:05:56 - 来自: main.py:1764 - <module>                        | 函数返回            | __main__.auto_game                       | 返回值: None
19:05:56 - 来自: main.py:1764 - <module>                        | 调用函数            | __main__.init_interface                  | 参数: {'self': '<__main__.MaYun object at 0x00000259973C3EE0>', 'result': '1'}
19:05:56 -     来自: main.py:1678 - init_interface                  | 调用函数            | __main__.recorder2zero                   | 参数: {'self': '<__main__.MaYun object at 0x00000259973C3EE0>'}
19:05:56 -     来自: main.py:1678 - init_interface                  | 函数返回            | __main__.recorder2zero                   | 返回值: None
19:05:56 - 来自: main.py:1764 - <module>                        | 函数返回            | __main__.init_interface                  | 返回值: None
19:05:56 - 来自: main.py:1764 - <module>                        | 调用函数            | __main__.write_threshold                 | 参数: {'self': '<__main__.MaYun object at 0x00000259973C3EE0>', 'result': '1'}
19:05:56 - 来自: main.py:1764 - <module>                        | 函数返回            | __main__.write_threshold                 | 返回值: None
19:05:56 -     来自: main.py:259 - run                              | 函数异常            | __main__.init_datas                      | 异常类型: KeyError | 异常信息: 'state' | 堆栈跟踪: Traceback (most recent call last):
  File "c:\Users\User\Desktop\douzero项目汇总\测试用\5.8源码cursor版\log_utils.py", line 128, in wrapper
    result = func(*args, **kwargs)
  File "c:/Users/User/Desktop/douzero项目汇总/测试用/5.8源码cursor版/main.py", line 308, in init_datas
    self.statement = data["state"]
KeyError: 'state'

19:05:56 -     来自: main.py:285 - run                              | 调用函数            | __main__.before_start                    | 参数: {'self': '<__main__.Worker object at 0x0000025998DA84C0>'}
19:05:56 -         来自: main.py:724 - before_start                     | 调用函数            | __main__.find_my_cards                   | 参数: {'self': '<__main__.Worker object at 0x0000025998DA84C0>'}
19:05:56 -         来自: main.py:724 - before_start                     | 函数返回            | __main__.find_my_cards                   | 返回值: 
