23:42:37 - 来自: main.py:1745 - <module>                        | 调用函数            | __main__.__init__                        | 参数: {'self': '<__main__.MaYun object at 0x0000018173DFDF70>'}
23:42:38 -     来自: main.py:1559 - __init__                        | 调用函数            | __main__.__init__                        | 参数: {'self': '<__main__.Worker object at 0x00000181757E3550>'}
23:42:38 -     来自: main.py:1559 - __init__                        | 函数返回            | __main__.__init__                        | 返回值: None
23:42:38 -     来自: main.py:1560 - __init__                        | 调用函数            | __main__.init_info                       | 参数: {'self': '<__main__.MaYun object at 0x0000018173DFDF70>'}
23:42:38 -     来自: main.py:1560 - __init__                        | 函数返回            | __main__.init_info                       | 返回值: None
23:42:38 - 来自: main.py:1745 - <module>                        | 函数返回            | __main__.__init__                        | 返回值: None
23:42:40 - 来自: main.py:1747 - <module>                        | 调用函数            | __main__.auto_game                       | 参数: {'self': '<__main__.MaYun object at 0x0000018173DFDF70>', 'result': 'False'}
23:42:40 - 来自: 未知调用者                                          | 调用函数            | __main__.run                             | 参数: {'self': '<__main__.Worker object at 0x00000181757E3550>'}
23:42:40 -     来自: main.py:259 - run                              | 调用函数            | __main__.init_datas                      | 参数: {'self': '<__main__.Worker object at 0x00000181757E3550>'}
23:42:40 - 来自: main.py:1747 - <module>                        | 函数返回            | __main__.auto_game                       | 返回值: None
23:42:40 - 来自: main.py:1747 - <module>                        | 调用函数            | __main__.init_interface                  | 参数: {'self': '<__main__.MaYun object at 0x0000018173DFDF70>', 'result': '1'}
23:42:40 -     来自: main.py:1661 - init_interface                  | 调用函数            | __main__.recorder2zero                   | 参数: {'self': '<__main__.MaYun object at 0x0000018173DFDF70>'}
23:42:40 -     来自: main.py:1661 - init_interface                  | 函数返回            | __main__.recorder2zero                   | 返回值: None
23:42:40 - 来自: main.py:1747 - <module>                        | 函数返回            | __main__.init_interface                  | 返回值: None
23:42:40 - 来自: main.py:1747 - <module>                        | 调用函数            | __main__.write_threshold                 | 参数: {'self': '<__main__.MaYun object at 0x0000018173DFDF70>', 'result': '1'}
23:42:40 - 来自: main.py:1747 - <module>                        | 函数返回            | __main__.write_threshold                 | 返回值: None
23:42:40 -     来自: main.py:259 - run                              | 函数异常            | __main__.init_datas                      | 异常类型: KeyError | 异常信息: 'state' | 堆栈跟踪: Traceback (most recent call last):
  File "c:\Users\User\Desktop\douzero项目汇总\测试用\5.8源码cursor版\log_utils.py", line 128, in wrapper
    result = func(*args, **kwargs)
  File "c:/Users/User/Desktop/douzero项目汇总/测试用/5.8源码cursor版/main.py", line 308, in init_datas
    self.statement = data["state"]
KeyError: 'state'

23:42:40 -     来自: main.py:285 - run                              | 调用函数            | __main__.before_start                    | 参数: {'self': '<__main__.Worker object at 0x00000181757E3550>'}
23:42:40 -         来自: main.py:706 - before_start                     | 调用函数            | __main__.find_my_cards                   | 参数: {'self': '<__main__.Worker object at 0x00000181757E3550>'}
23:42:40 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(436, 28, 1121, 82), (486, 28, 1121, 82), (487, 28, 1121, 82), (436, 29, 1121, 82), (486, 29, 1121, 82), (487, 29, 1121, 82), (435, 30, 1121, 82), (436, 30, 1121, 82), (486, 30, 1121, 82), (487, 30, 1121, 82), (435, 31, 1121, 82), (436, 31, 1121, 82), (486, 31, 1121, 82), (487, 31, 1121, 82), (435, 32, 1121, 82), (436, 32, 1121, 82), (486, 32, 1121, 82), (487, 32, 1121, 82), (436, 33, 1121, 82), (486, 33, 1121, 82), (487, 33, 1121, 82)]', 'distance': '25'}
23:42:40 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(436, 28, 1121, 82), (486, 28, 1121, 82)])
23:42:40 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(588, 28, 1121, 82), (589, 28, 1121, 82), (590, 28, 1121, 82), (538, 29, 1121, 82), (539, 29, 1121, 82), (587, 29, 1121, 82), (588, 29, 1121, 82), (589, 29, 1121, 82), (590, 29, 1121, 82), (588, 30, 1121, 82), (589, 30, 1121, 82), (590, 30, 1121, 82)]', 'distance': '25'}
23:42:40 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(588, 28, 1121, 82), (538, 29, 1121, 82)])
23:42:40 -         来自: main.py:706 - before_start                     | 函数返回            | __main__.find_my_cards                   | 返回值: TT55
23:42:41 -         来自: main.py:659 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'continue', 'pos': '(545, 503, 170, 60)', 'click': 'True'}
23:42:41 -         来自: main.py:659 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
23:42:41 -         来自: main.py:662 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'reward', 'pos': '(521, 506, 199, 76)', 'click': 'True'}
23:42:41 -         来自: main.py:662 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
23:42:41 -         来自: main.py:665 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'start_game', 'pos': '(201, 260, 840, 74)', 'click': 'True'}
23:42:41 -         来自: main.py:665 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
23:42:41 -         来自: main.py:668 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'tuoguan', 'pos': '(485, 620, 269, 92)', 'click': 'True'}
23:42:41 -         来自: main.py:668 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
23:42:41 -         来自: main.py:671 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'sure', 'pos': '(560, 405, 256, 127)', 'click': 'True'}
23:42:41 -         来自: main.py:671 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
23:42:41 -         来自: main.py:674 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'tuijian', 'pos': '(648, 413, 194, 88)', 'click': 'True'}
23:42:41 -         来自: main.py:674 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
23:42:41 -         来自: main.py:677 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'good', 'pos': '(385, 532, 194, 78)', 'click': 'True'}
23:42:41 -         来自: main.py:677 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
23:42:41 -         来自: main.py:680 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'zhidao', 'pos': '(527, 482, 199, 83)', 'click': 'True'}
23:42:41 -         来自: main.py:680 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
23:42:41 -         来自: main.py:683 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'chacha', 'pos': '(920, 57, 266, 204)', 'click': 'True'}
23:42:41 -         来自: main.py:683 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
23:42:41 -         来自: main.py:686 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'quick_start', 'pos': '(831, 595, 219, 87)', 'click': 'True'}
23:42:41 -         来自: main.py:686 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
23:42:41 -         来自: main.py:706 - before_start                     | 调用函数            | __main__.find_my_cards                   | 参数: {'self': '<__main__.Worker object at 0x00000181757E3550>'}
23:42:41 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(436, 28, 1121, 82), (486, 28, 1121, 82), (487, 28, 1121, 82), (436, 29, 1121, 82), (486, 29, 1121, 82), (487, 29, 1121, 82), (435, 30, 1121, 82), (436, 30, 1121, 82), (486, 30, 1121, 82), (487, 30, 1121, 82), (435, 31, 1121, 82), (436, 31, 1121, 82), (486, 31, 1121, 82), (487, 31, 1121, 82), (435, 32, 1121, 82), (436, 32, 1121, 82), (486, 32, 1121, 82), (487, 32, 1121, 82), (436, 33, 1121, 82), (486, 33, 1121, 82), (487, 33, 1121, 82)]', 'distance': '25'}
23:42:41 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(436, 28, 1121, 82), (486, 28, 1121, 82)])
23:42:41 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(588, 28, 1121, 82), (589, 28, 1121, 82), (590, 28, 1121, 82), (538, 29, 1121, 82), (539, 29, 1121, 82), (587, 29, 1121, 82), (588, 29, 1121, 82), (589, 29, 1121, 82), (590, 29, 1121, 82), (588, 30, 1121, 82), (589, 30, 1121, 82), (590, 30, 1121, 82)]', 'distance': '25'}
23:42:41 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(588, 28, 1121, 82), (538, 29, 1121, 82)])
23:42:41 -         来自: main.py:706 - before_start                     | 函数返回            | __main__.find_my_cards                   | 返回值: TT55
23:42:42 -         来自: main.py:659 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'continue', 'pos': '(545, 503, 170, 60)', 'click': 'True'}
23:42:42 -         来自: main.py:659 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
23:42:42 -         来自: main.py:662 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'reward', 'pos': '(521, 506, 199, 76)', 'click': 'True'}
23:42:42 -         来自: main.py:662 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
23:42:42 -         来自: main.py:665 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'start_game', 'pos': '(201, 260, 840, 74)', 'click': 'True'}
23:42:42 -         来自: main.py:665 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
23:42:42 -         来自: main.py:668 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'tuoguan', 'pos': '(485, 620, 269, 92)', 'click': 'True'}
23:42:42 -         来自: main.py:668 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
23:42:42 -         来自: main.py:671 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'sure', 'pos': '(560, 405, 256, 127)', 'click': 'True'}
23:42:42 -         来自: main.py:671 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
23:42:42 -         来自: main.py:674 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'tuijian', 'pos': '(648, 413, 194, 88)', 'click': 'True'}
23:42:42 -         来自: main.py:674 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
23:42:42 -         来自: main.py:677 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'good', 'pos': '(385, 532, 194, 78)', 'click': 'True'}
23:42:42 -         来自: main.py:677 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
23:42:42 -         来自: main.py:680 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'zhidao', 'pos': '(527, 482, 199, 83)', 'click': 'True'}
23:42:42 -         来自: main.py:680 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
23:42:42 -         来自: main.py:683 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'chacha', 'pos': '(920, 57, 266, 204)', 'click': 'True'}
23:42:42 -         来自: main.py:683 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
23:42:42 -         来自: main.py:686 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'quick_start', 'pos': '(831, 595, 219, 87)', 'click': 'True'}
23:42:42 -         来自: main.py:686 - detect_start_btn                 | 函数返回            | __main__.find_pic                        | 返回值: None
23:42:42 -         来自: main.py:706 - before_start                     | 调用函数            | __main__.find_my_cards                   | 参数: {'self': '<__main__.Worker object at 0x00000181757E3550>'}
23:42:43 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(436, 28, 1121, 82), (486, 28, 1121, 82), (487, 28, 1121, 82), (436, 29, 1121, 82), (486, 29, 1121, 82), (487, 29, 1121, 82), (435, 30, 1121, 82), (436, 30, 1121, 82), (486, 30, 1121, 82), (487, 30, 1121, 82), (435, 31, 1121, 82), (436, 31, 1121, 82), (486, 31, 1121, 82), (487, 31, 1121, 82), (435, 32, 1121, 82), (436, 32, 1121, 82), (486, 32, 1121, 82), (487, 32, 1121, 82), (436, 33, 1121, 82), (486, 33, 1121, 82), (487, 33, 1121, 82)]', 'distance': '25'}
23:42:43 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(436, 28, 1121, 82), (486, 28, 1121, 82)])
23:42:43 -             来自: main.py:332 - cards_info                       | 调用函数            | __main__.cards_filter                    | 参数: {'location': '[(588, 28, 1121, 82), (589, 28, 1121, 82), (590, 28, 1121, 82), (538, 29, 1121, 82), (539, 29, 1121, 82), (587, 29, 1121, 82), (588, 29, 1121, 82), (589, 29, 1121, 82), (590, 29, 1121, 82), (588, 30, 1121, 82), (589, 30, 1121, 82), (590, 30, 1121, 82)]', 'distance': '25'}
23:42:43 -             来自: main.py:332 - cards_info                       | 函数返回            | __main__.cards_filter                    | 返回值: (2, [(588, 28, 1121, 82), (538, 29, 1121, 82)])
23:42:43 -         来自: main.py:706 - before_start                     | 函数返回            | __main__.find_my_cards                   | 返回值: TT55
23:42:43 -         来自: main.py:659 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'continue', 'pos': '(545, 503, 170, 60)', 'click': 'True'}
