00:16:46 - 来自: main.py:1748 - <module>                        | 调用函数            | __main__.__init__                        | 参数: {'self': '<__main__.MaYun object at 0x0000024F94840F70>'}
00:16:46 -     来自: main.py:1562 - __init__                        | 调用函数            | __main__.__init__                        | 参数: {'self': '<__main__.Worker object at 0x0000024F96224550>'}
00:16:46 -     来自: main.py:1562 - __init__                        | 函数返回            | __main__.__init__                        | 返回值: None
00:16:46 -     来自: main.py:1563 - __init__                        | 调用函数            | __main__.init_info                       | 参数: {'self': '<__main__.MaYun object at 0x0000024F94840F70>'}
00:16:47 -     来自: main.py:1563 - __init__                        | 函数返回            | __main__.init_info                       | 返回值: None
00:16:47 - 来自: main.py:1748 - <module>                        | 函数返回            | __main__.__init__                        | 返回值: None
00:16:51 - 来自: main.py:1750 - <module>                        | 调用函数            | __main__.auto_game                       | 参数: {'self': '<__main__.MaYun object at 0x0000024F94840F70>', 'result': 'False'}
00:16:51 - 来自: 未知调用者                                          | 调用函数            | __main__.run                             | 参数: {'self': '<__main__.Worker object at 0x0000024F96224550>'}
00:16:51 -     来自: main.py:259 - run                              | 调用函数            | __main__.init_datas                      | 参数: {'self': '<__main__.Worker object at 0x0000024F96224550>'}
00:16:51 - 来自: main.py:1750 - <module>                        | 函数返回            | __main__.auto_game                       | 返回值: None
00:16:51 - 来自: main.py:1750 - <module>                        | 调用函数            | __main__.init_interface                  | 参数: {'self': '<__main__.MaYun object at 0x0000024F94840F70>', 'result': '1'}
00:16:51 -     来自: main.py:1664 - init_interface                  | 调用函数            | __main__.recorder2zero                   | 参数: {'self': '<__main__.MaYun object at 0x0000024F94840F70>'}
00:16:51 -     来自: main.py:1664 - init_interface                  | 函数返回            | __main__.recorder2zero                   | 返回值: None
00:16:51 - 来自: main.py:1750 - <module>                        | 函数返回            | __main__.init_interface                  | 返回值: None
00:16:51 - 来自: main.py:1750 - <module>                        | 调用函数            | __main__.write_threshold                 | 参数: {'self': '<__main__.MaYun object at 0x0000024F94840F70>', 'result': '1'}
00:16:51 - 来自: main.py:1750 - <module>                        | 函数返回            | __main__.write_threshold                 | 返回值: None
00:16:51 -     来自: main.py:259 - run                              | 函数异常            | __main__.init_datas                      | 异常类型: KeyError | 异常信息: 'state' | 堆栈跟踪: Traceback (most recent call last):
  File "c:\Users\User\Desktop\douzero项目汇总\测试用\5.8源码cursor版\log_utils.py", line 128, in wrapper
    result = func(*args, **kwargs)
  File "c:/Users/User/Desktop/douzero项目汇总/测试用/5.8源码cursor版/main.py", line 308, in init_datas
    self.statement = data["state"]
KeyError: 'state'

00:16:51 -     来自: main.py:285 - run                              | 调用函数            | __main__.before_start                    | 参数: {'self': '<__main__.Worker object at 0x0000024F96224550>'}
00:16:51 -         来自: main.py:706 - before_start                     | 调用函数            | __main__.find_my_cards                   | 参数: {'self': '<__main__.Worker object at 0x0000024F96224550>'}
00:16:51 -         来自: main.py:706 - before_start                     | 函数返回            | __main__.find_my_cards                   | 返回值: 
00:16:52 -         来自: main.py:659 - detect_start_btn                 | 调用函数            | __main__.find_pic                        | 参数: {'path': 'continue', 'pos': '(545, 503, 170, 60)', 'click': 'True'}
